class_id,class_name,train_count,val_count,test_count,total_count
76,Alocasia macrorrhizos,260,37,77,374
77,Alocasia micholitziana,41,5,13,59
78,Alocasia odora,41,5,13,59
79,Alocasia reginula,22,3,7,32
80,Alocasia sanderiana,312,44,91,447
81,Alocasia wentii,7,1,2,10
82,Alocasia zebrina,44,6,13,63
83,Alopecurus myosuroides,1200,170,345,1715
84,Alstonia scholaris,125,17,37,179
85,Alternanthera philoxeroides,646,92,185,923
86,Althaea cannabina,205,29,60,294
87,Althaea officinalis,652,93,187,932
88,Amaranthus hybridus,2940,420,840,4200
89,Amaranthus lividus,2940,420,840,4200
90,Amaranthus palmeri,482,68,139,689
91,Amaranthus retroflexus,3645,520,1043,5208
92,Amaranthus tuberculatus,1371,195,393,1959
93,Ambrosia artemisiifolia,1805,257,518,2580
94,Anagallis arvensis,1275,182,365,1822
95,Anchusa arvensis,205,29,60,294
96,Anemone alpina,1180,168,338,1686
97,Anemone apennina,108,15,32,155
98,Anemone baldensis,31,4,10,45
99,Anemone blanda,399,57,114,570
100,Anemone canadensis,122,17,36,175
101,Anemone coronaria,592,84,171,847
102,Anemone halleri,15,2,5,22
103,Anemone hepatica,1662,237,476,2375
104,Anemone hortensis,307,43,89,439
105,Anemone hupehensis,1925,275,551,2751
106,Anemone montana,12,1,5,18
107,Anemone multifida,4,1,2,7
108,Anemone narcissiflora,177,25,52,254
109,Anemone nemorosa,2965,423,848,4236
110,Anemone palmata,14,2,5,21
111,Anemone patens,14,2,5,21
112,Anemone pavoniana,2,1,1,4
113,Anemone pratensis,24,3,8,35
114,Anemone pulsatilla,565,80,163,808
115,Anemone ranunculoides,419,59,121,599
116,Anemone rubra,63,9,19,91
117,Anemone sylvestris,413,59,119,591
118,Anemone tomentosa,25,3,8,36
119,Anemone trifolia,30,4,10,44
120,Anemone vernalis,157,22,46,225
121,Anemone virginiana,49,7,14,70
122,Anemone vitifolia,5,1,2,8
123,Anemone x hybrida,20,2,7,29
124,Angelica archangelica,208,29,61,298
125,Angelica atropurpurea,46,6,15,67
126,Angelica heterocarpa,2,1,1,4
127,Angelica lucida,3,1,1,5
128,Angelica razulii,12,1,5,18
129,Angelica sylvestris,1537,219,441,2197
130,Angostura granulosa,4,1,1,6
131,Anisocampium niponicum,11,1,4,16
132,Anoda cristata,42,6,13,61
133,Ansellia africana,6,1,2,9
134,Anthericum liliago,648,92,186,926
135,Anthericum ramosum,133,19,39,191
136,Anthurium andraeanum,1962,280,561,2803
137,Anthurium clarinervium,55,7,17,79
138,Anthurium crystallinum,3,1,1,5
139,Anthurium faustomirandae,4,1,2,7
140,Anthurium hookeri,30,4,10,44
141,Anthurium jenmanii,7,1,2,10
142,Anthurium salvinii,7,1,3,11
143,Anthurium scandens,2,1,1,4
144,Anthurium scherzerianum,19,2,7,28
145,Anthurium schlechtendalii,5,1,2,8
146,Anthurium veitchii,7,1,2,10
147,Anthurium warocqueanum,4,1,2,7
148,Antirhea borbonica,13,1,5,19
149,Apera spica-venti,1440,205,413,2058
150,Aphelandra aurantiaca,2,1,1,4
151,Aphelandra scabra,4,1,2,7
152,Aphelandra sinclairiana,4,1,1,6
153,Aphelandra squarrosa,199,28,58,285
154,Arachis hypogaea,4876,696,1394,6966
155,Aralia californica,5,1,2,8
156,Aralia elata,74,10,22,106
157,Aralia hispida,6,1,2,9
158,Aralia nudicaulis,121,17,35,173
159,Aralia racemosa,32,4,10,46
160,Aralia spinosa,40,5,13,58
161,Aristea abyssinica,4,1,1,6
162,Aristea ecklonii,3,1,1,5
163,Artemisia vulgaris,901,128,259,1288
164,Arthraxon hispidus,3,1,1,5
165,Aspilia mossambicensis,18,2,7,27
166,Aspilia pluriseta,4,1,1,6
167,Astydamia latifolia,7,1,3,11
168,Asystasia charmian,5,1,2,8
169,Asystasia gangetica,170,24,50,244
170,Asystasia mysorensis,8,1,3,12
171,Asystasia riparia,3,1,1,5
172,Atocion rupestre,109,15,32,156
173,Atractocarpus platyxylon,2,1,1,4
174,Avena fatua,1076,153,309,1538
175,Balsamorhiza sagittata,18,2,7,27
176,Barbarea intermedia,23,3,8,34
177,Barbarea orthoceras,46,6,15,67
178,Barbarea rupicola,4,1,2,7
179,Barbarea verna,224,32,65,321
180,Barbarea vulgaris,947,135,273,1355
181,Barringtonia acutangula,2,1,1,4
182,Barringtonia asiatica,74,10,23,107
183,Basella alba,361,51,105,517
184,Bassia scoparia,853,121,245,1219
185,Bellium bellidioides,7,1,2,10
186,Benincasa hispida,58,8,17,83
187,Berula erecta,86,12,26,124
188,Beta vulgaris,4890,698,1399,6987
189,Bidens pilosa,452,64,130,646
190,Bismarckia nobilis,49,7,15,71
191,Bocoa prouacensis,39,5,12,56
192,Bonafousia undulata,3,1,1,5
193,Boscia angustifolia,5,1,2,8
194,Boscia coriacea,6,1,2,9
195,Boscia mossambicensis,5,1,2,8
196,Bourreria andrieuxii,2,1,1,4
197,Bourreria costaricensis,4,1,2,7
198,Bourreria succulenta,2,1,1,4
199,Brassica napus,2078,296,595,2969
200,Breynia disticha,111,15,33,159
201,Breynia vitis-idaea,4,1,1,6
202,Brodiaea elegans,9,1,3,13
203,Bromus sterilis,791,113,227,1131
204,Browallia americana,7,1,3,11
205,Browallia speciosa,2,1,1,4
206,Butomus umbellatus,266,38,76,380
207,Calendula arvensis,903,128,260,1291
208,Calendula officinalis,4232,604,1211,6047
209,Calendula stellata,69,9,21,99
210,Calochortus eurycarpus,2,1,1,4
211,Calochortus gunnisonii,4,1,2,7
212,Calochortus leichtlinii,4,1,1,6
213,Calochortus luteus,4,1,1,6
214,Calochortus macrocarpus,9,1,4,14
215,Calochortus splendens,2,1,1,4
216,Calochortus tolmiei,4,1,1,6
217,Calodendrum capense,7,1,3,11
218,Calycanthus floridus,251,36,73,360
219,Calycanthus occidentalis,4,1,1,6
220,Calylophus hartwegii,3,1,1,5
221,Capsella bursa-pastoris,2957,421,850,4228
222,Capsicum annuum,2892,412,830,4134
223,Caraipa densifolia,4,1,1,6
224,Caraipa punctulata,2,1,1,4
225,Carex haematostoma,2637,376,755,3768
226,Carex nipponica,751,107,216,1074
227,Carthamus caeruleus,9,1,3,13
228,Carthamus carduncellus,36,5,11,52
229,Carthamus lanatus,228,32,67,327
230,Carthamus mitissimus,57,8,17,82
231,Carthamus tinctorius,163,23,47,233
232,Casuarina cunninghamiana,213,30,62,305
233,Casuarina equisetifolia,86,12,26,124
234,Cedrela fissilis,2,1,1,4
235,Cedrela odorata,17,2,6,25
236,Cenchrus ciliaris,32,4,10,46
237,Cenchrus clandestinus,2,1,1,4
238,Cenchrus echinatus,8,1,3,12
239,Cenchrus longisetus,42,6,13,61
240,Cenchrus longispinus,8,1,3,12
241,Cenchrus purpureus,18,2,6,26
242,Cenchrus setaceus,270,38,79,387
243,Centranthus angustifolius,122,17,36,175
244,Centranthus calcitrapae,91,13,27,131
245,Centranthus lecoqii,27,3,9,39
246,Centranthus ruber,4669,667,1334,6670
247,Cerbera manghas,18,2,6,26
248,Cereus forbesii,18,2,7,27
249,Cereus hexagonus,97,13,29,139
250,Cereus hildmannianus,2,1,1,4
251,Cereus jamacaru,200,28,59,287
252,Cereus repandus,79,11,24,114
253,Cereus uruguayanus,17,2,6,25
254,Chaerophyllum aromaticum,2,1,1,4
255,Chaerophyllum aureum,60,8,18,86
256,Chaerophyllum bulbosum,44,6,14,64
257,Chaerophyllum hirsutum,203,29,58,290
258,Chaerophyllum tainturieri,10,1,4,15
259,Chaerophyllum temulum,695,99,200,994
260,Chaerophyllum villarsii,18,2,6,26
261,Chamaesyce maculata,163,23,48,234
262,Chamerion latifolium,4,1,2,7
263,Chenopodium album,5423,774,1553,7750
264,Chenopodium glaucum,1896,270,543,2709
265,Chromolaena odorata,751,107,216,1074
266,Cirsium acaulon,228,32,67,327
267,Cirsium alsophilum,7,1,3,11
268,Cirsium altissimum,23,3,7,33
269,Cirsium arvense,3653,521,1046,5220
270,Cirsium canum,9,1,4,14
271,Cirsium discolor,441,62,128,631
272,Cirsium dissectum,21,3,6,30
273,Cirsium eriophorum,687,98,197,982
274,Cirsium erisithales,99,14,29,142
275,Cirsium ferox,13,1,5,19
276,Cirsium filipendulum,4,1,1,6
277,Cirsium foliosum,5,1,2,8
278,Cirsium glabrum,2,1,1,4
279,Cirsium heterophyllum,157,22,46,225
280,Cirsium horridulum,16,2,6,24
281,Cirsium monspessulanum,78,11,23,112
282,Cirsium morisianum,4,1,2,7
283,Cirsium muticum,5,1,2,8
284,Cirsium oleraceum,597,85,171,853
285,Cirsium palustre,731,103,211,1045
286,Cirsium rivulare,88,12,27,127
287,Cirsium setosum,840,120,240,1200
288,Cirsium spinosissimum,191,27,55,273
289,Cirsium texanum,26,3,9,38
290,Cirsium tuberosum,40,5,13,58
291,Cirsium undulatum,7,1,2,10
292,Cirsium vulgare,4531,647,1296,6474
293,Citrus limon,111,15,33,159
294,Clethra alnifolia,105,15,31,151
295,Cobaea scandens,54,7,17,78
296,Coffea spp.,304,43,88,435
297,Collomia grandiflora,30,4,10,44
298,Commelina communis,1797,256,515,2568
299,Comptonia peregrina,15,2,5,22
300,Conoclinium coelestinum,126,18,37,181
301,Conostomium kenyense,7,1,3,11
302,Conostomium quadrangulare,11,1,4,16
303,Convolvulus arvensis,755,107,217,1079
304,Cordyla africana,4,1,1,6
305,Corispermum pallasii,5,1,2,8
306,Coryphantha elephantidens,2,1,1,4
307,Couroupita guianensis,175,25,51,251
308,Coussapoa villosa,2,1,1,4
309,Crotalaria brevidens,5,1,2,8
310,Crotalaria chrysochlora,4,1,2,7
311,Crotalaria deflersii,4,1,1,6
312,Crotalaria incana,10,1,4,15
313,Crotalaria juncea,17,2,6,25
314,Crotalaria laburnifolia,17,2,6,25
315,Crotalaria pallida,31,4,10,45
316,Crotalaria polysperma,21,3,6,30
317,Crotalaria pumila,4,1,1,6
318,Crotalaria retusa,56,8,17,81
319,Crotalaria spectabilis,4,1,2,7
320,Crotalaria uguenensis,4,1,1,6
321,Crotalaria verrucosa,4,1,2,7
322,Cryptopus elatus,2,1,1,4
323,Cryptostegia grandiflora,708,101,204,1013
324,Cryptostegia madagascariensis,30,4,9,43
325,Cucumis sativus,261,37,77,375
326,Cucurbita ficifolia,4,1,2,7
327,Cucurbita foetidissima,14,2,4,20
328,Cucurbita maxima,779,111,223,1113
329,Cucurbita moschata,284,40,83,407
330,Cucurbita pepo,1261,180,361,1802
331,Cyanotis somaliensis,50,7,15,72
332,Cyanus segetum,2274,324,651,3249
333,Cymbalaria aequitriloba,10,1,4,15
334,Cymbalaria hepaticifolia,2,1,1,4
335,Cymbalaria muralis,2370,338,678,3386
336,Cyperus esculentus,191,27,55,273
337,Cyperus microiria,3225,460,923,4608
338,Cyperus rotundus,1240,176,357,1773
339,Cyphostemma cyphopetalum,7,1,2,10
340,Cyphostemma juttae,7,1,3,11
341,Cyphostemma serpens,17,2,6,25
342,Cyrtanthus elatus,10,1,4,15
343,Cytinus hypocistis,119,17,35,171
344,Cytinus ruber,72,10,22,104
345,Dalbergia latifolia,4,1,2,7
346,Dalbergia melanoxylon,7,1,2,10
347,Dalbergia retusa,5,1,2,8
348,Dalbergia sissoo,3,1,1,5
349,Dalea purpurea,27,3,9,39
350,Danthonia decumbens,4,1,1,6
351,Daphne alpina,55,7,17,79
352,Daphne cneorum,158,22,46,226
353,Daphne gnidium,639,91,184,914
354,Daphne laureola,578,82,167,827
355,Daphne mezereum,641,91,184,916
356,Daphne odora,42,6,13,61
357,Daphne oleoides,3,1,1,5
358,Daphne sericea,9,1,4,14
359,Daphne striata,27,3,9,39
360,Daphne tangutica,9,1,3,13
361,Daucus carota,6308,901,1803,9012
362,Daucus carota subsp. Sativus,140,20,41,201
363,Daucus muricatus,4,1,1,6
364,Daucus pusillus,14,2,5,21
365,Declieuxia fruticosa,2,1,1,4
366,Dendrobium anosmum,10,1,4,15
367,Dendrobium aphyllum,5,1,2,8
368,Dendrobium chrysotoxum,7,1,2,10
369,Dendrobium closterium,11,1,4,16
370,Dendrobium crumenatum,11,1,5,17
371,Dendrobium kingianum,2,1,1,4
372,Dendrobium moschatum,5,1,2,8
373,Dendrobium munificum,4,1,2,7
374,Dendrobium nobile,431,61,124,616
375,Dendrobium spp.,14,2,4,20
376,Dendrobium thyrsiflorum,8,1,3,12
377,Dendrobium victoriae-reginae,55,7,17,79
378,Diascia rigescens,95,13,29,137
379,Diascia vigilis,2,1,1,4
380,Diatelia tuberaria,16,2,5,23
381,Dierama pulcherrimum,33,4,11,48
382,Diervilla lonicera,55,7,17,79
383,Diervilla sessilifolia,6,1,2,9
384,Digitaria sanguinalis,4133,590,1185,5908
385,Dischidia nummularia,11,1,4,16
386,Dischidia ovata,4,1,2,7
387,Dorotheanthus bellidiformis,30,4,10,44
388,Dracontium polyphyllum,2,1,1,4
389,Dracophyllum verticillatum,4,1,1,6
390,Dryas octopetala,289,41,83,413
391,Dryopteris aemula,9,1,3,13
392,Dryopteris affinis,33,4,11,48
393,Dryopteris carthusiana,37,6,11,54
394,Dryopteris cristata,25,3,8,36
395,Dryopteris cycadina,3,1,1,5
396,Dryopteris dilatata,23,3,7,33
397,Dryopteris erythrosora,40,4,14,58
398,Dryopteris expansa,12,1,5,18
399,Dryopteris filix-mas,903,129,259,1291
400,Dryopteris fragrans,11,1,5,17
401,Dryopteris intermedia,46,6,14,66
402,Dryopteris marginalis,23,3,7,33
403,Dryopteris sieboldii,2,1,1,4
404,Dryopteris villarii,12,1,5,18
405,Dryopteris wallichiana,4,1,1,6
406,Dubouzetia campanulata,2,1,1,4
407,Dubouzetia confusa,2,1,1,4
408,Duchesnea indica,1020,144,296,1460
409,Echinochloa crus-galli,3954,564,1133,5651
410,Echinochloa oryzoides,147,21,42,210
411,Eclipta,605,86,174,865
412,Egeria densa,14,2,5,21
413,Elephantopus elatus,21,3,6,30
414,Eleusine indica,3263,465,934,4662
415,Elodea canadensis,20,2,7,29
416,Empetrum nigrum,149,21,43,213
417,Empetrum rubrum,4,1,1,6
418,Entada gigas,3,1,1,5
419,Entada phaseoloides,3,1,1,5
420,Epipactis atrorubens,310,44,90,444
421,Epipactis gigantea,2,1,1,4
422,Epipactis helleborine,817,116,235,1168
423,Epipactis leptochila,16,2,6,24
424,Epipactis microphylla,13,1,5,19
425,Epipactis muelleri,18,2,7,27
426,Epipactis palustris,214,30,63,307
427,Epipactis phyllanthes,4,1,1,6
428,Epipactis purpurata,18,2,7,27
429,Eranthemum pulchellum,9,1,3,13
430,Erechtites hieraciifolius,157,22,46,225
431,Erechtites minima,7,1,2,10
432,Erianthemum dregei,3,1,1,5
433,Erigeron canadensis,727,103,209,1039
434,Eritrichium nanum,23,3,7,33
435,Erodium cicutarium,1418,202,406,2026
436,Erucastrum gallicum,32,4,10,46
437,Erucastrum incanum,190,27,55,272
438,Erucastrum nasturtiifolium,68,9,21,98
439,Erycina pusilla,6,1,2,9
440,Eucryphia cordifolia,14,2,4,20
441,Euphorbia helioscopia,74,10,22,106
442,Euphorbia maculata,669,95,192,956
443,Euphorbia peplus,1292,184,370,1846
444,Falcaria vulgaris,109,15,33,157
445,Falcataria moluccana,5,1,2,8
446,Fallopia convolvulus,986,141,283,1410
447,Faujasia salicifolia,9,1,3,13
448,Fedia cornucopiae,13,1,5,19
449,Fedia graciliflora,20,2,7,29
450,Fernelia buxifolia,4,1,2,7
451,Fibigia clypeata,18,2,7,27
452,Fittonia albivenis,950,135,273,1358
453,Fragaria ananassa,766,109,221,1096
454,Fragaria chiloensis,56,8,17,81
455,Fragaria moschata,60,8,18,86
456,Fragaria vesca,3379,482,967,4828
457,Fragaria virginiana,18,2,7,27
458,Fragaria viridis,223,31,65,319
459,Fragaria x ananassa,239,34,70,343
460,Freesia alba,94,13,28,135
461,Freesia refracta,185,26,55,266
462,Freesia x hybrida,42,6,13,61
463,Freycinetia cumingiana,2,1,1,4
464,Fumaria officinalis,72,10,22,104
465,Galega officinalis,375,53,108,536
466,Galega orientalis,9,1,3,13
467,Galium aparine,1085,154,312,1551
468,Garrya elliptica,35,5,10,50
469,Geniostoma borbonicum,7,1,3,11
470,Geranium molle,1710,244,490,2444
471,Geranium pusillum,403,57,116,576
472,Geropogon hybridus,34,4,11,49
473,Glebionis segetum,416,59,120,595
474,Glycine max,4234,604,1213,6051
475,Gomphocarpus fruticosus,57,8,17,82
476,Gomphocarpus integer,14,2,5,21
477,Gomphocarpus physocarpus,192,27,56,275
478,Goniolimon tataricum,4,1,2,7
479,Gossypium spp.,894,127,258,1279
480,Groenlandia densa,9,1,4,14
481,Guaiacum officinale,14,2,5,21
482,Guaiacum sanctum,8,1,3,12
483,Guarea gomma,6,1,2,9
484,Guatteria aeruginosa,5,1,2,8
485,Guatteria amplifolia,2,1,1,4
486,Guatteria anteridifera,4,1,2,7
487,Guatteria citriodora,4,1,1,6
488,Guatteria dolichopoda,3,1,1,5
489,Guatteria punctata,3,1,1,5
490,Guizotia abyssinica,87,13,25,125
491,Gymnosporia putterlickioides,42,6,12,60
492,Gynura aurantiaca,123,17,37,177
493,Gynura procumbens,11,1,4,16
494,Hackelia velutina,14,2,5,21
495,Haplophyton crooksii,6,1,2,9
496,Harpachne schimperi,18,2,7,27
497,Hebe andersonii,158,22,47,227
498,Hebe brachysiphon,25,3,8,36
499,Hebe franciscana,14,2,5,21
500,Hebe ochracea,3,1,1,5
501,Hebe salicifolia,439,62,127,628
502,Helicodiceros muscivorus,6,1,2,9
503,Helminthotheca echioides,1130,161,324,1615
504,Hepatica nobilis,44,6,14,64
505,Herbertia lahue,18,2,7,27
506,Hernandia cordigera,2,1,1,4
507,Hernandia mascarenensis,4,1,1,6
508,Hernandia nymphaeifolia,2,1,1,4
509,Heteromorpha arborescens,2,1,1,4
510,Hippophae rhamnoides,368,52,106,526
511,Holodiscus discolor,105,15,30,150
512,Honckenya peploides,170,24,49,243
513,Humulus lupulus,1757,251,503,2511
514,Hunnemannia fumariifolia,4,1,2,7
515,Hyoscyamus albus,205,29,59,293
516,Hyoscyamus niger,211,30,61,302
517,Hyoseris radiata,112,16,33,161
518,Hypericum androsaemum,1189,169,341,1699
519,Hypericum annulatum,29,4,9,42
520,Hypericum australe,8,1,3,12
521,Hypericum balearicum,12,1,5,18
522,Hypericum calycinum,1700,242,487,2429
523,Hypericum canariense,14,2,4,20
524,Hypericum coris,5,1,2,8
525,Hypericum elodes,24,3,8,35
526,Hypericum empetrifolium,4,1,1,6
527,Hypericum frondosum,9,1,3,13
528,Hypericum hircinum,98,14,29,141
529,Hypericum hirsutum,216,30,63,309
530,Hypericum humifusum,93,13,28,134
531,Hypericum hypericoides,23,3,8,34
532,Hypericum hyssopifolium,3,1,1,5
533,Hypericum kalmianum,9,1,3,13
534,Hypericum lanceolatum,43,6,13,62
535,Hypericum linariifolium,10,1,4,15
536,Hypericum maculatum,254,36,73,363
537,Hypericum montanum,38,5,12,55
538,Hypericum mutilum,7,1,2,10
539,Hypericum nummularium,28,4,9,41
540,Hypericum olympicum,32,4,11,47
541,Hypericum patulum,176,25,51,252
542,Hypericum perfoliatum,43,6,13,62
543,Hypericum perforatum,5372,767,1536,7675
544,Hypericum prolificum,18,2,7,27
545,Hypericum pulchrum,65,9,19,93
546,Hypericum punctatum,15,2,5,22
547,Hypericum revolutum,3,1,1,5
548,Hypericum richeri,53,7,17,77
549,Hypericum tetrapetalum,4,1,1,6
550,Hypericum tetrapterum,116,16,35,167
551,Hypericum tomentosum,11,1,5,17
552,Hypericum triquetrifolium,8,1,3,12
553,Hypericum x hidcoteense,731,104,210,1045
554,Hypericum x inodorum,5,1,2,8
555,Ibicella lutea,4,1,1,6
556,Illicium floridanum,8,1,3,12
557,Illicium verum,8,1,3,12
558,Ipomoea indica,940,134,270,1344
559,Iva annua,7,1,3,11
560,Iva frutescens,5,1,2,8
561,Iva xanthiifolia,9,1,4,14
562,Jatropha curcas,93,13,27,133
563,Kalimeris indica,495,70,143,708
564,Keckiella cordifolia,2,1,1,4
565,Kigelia africana,86,12,25,123
566,Kniphofia linearifolia,21,3,6,30
567,Kniphofia uvaria,1318,188,378,1884
568,Lactuca alpina,307,43,90,440
569,Lactuca biennis,14,2,5,21
570,Lactuca canadensis,35,5,11,51
571,Lactuca floridana,36,5,11,52
572,Lactuca macrophylla,6,1,2,9
573,Lactuca muralis,500,71,144,715
574,Lactuca perennis,448,64,129,641
575,Lactuca plumieri,154,22,45,221
576,Lactuca saligna,24,3,8,35
577,Lactuca sativa,999,142,287,1428
578,Lactuca serriola,2653,379,759,3791
579,Lactuca tenerrima,16,2,6,24
580,Lactuca viminea,89,12,27,128
581,Lactuca virosa,365,52,106,523
582,Lagenaria siceraria,120,17,36,173
583,Lagenaria sphaerica,8,1,3,12
584,Lamium album,1461,208,419,2088
585,Lamium amplexicaule,3269,467,935,4671
586,Lamium bifidum,13,1,5,19
587,Lamium flexuosum,58,8,17,83
588,Lamium galeobdolon,2396,342,686,3424
589,Lamium garganicum,9,1,4,14
590,Lamium hybridum,578,82,167,827
591,Lamium maculatum,1585,225,456,2266
592,Lamium orvala,73,10,22,105
593,Lamium purpureum,3939,562,1127,5628
594,Lantana camara,744,106,214,1064
595,Lapageria rosea,9,1,4,14
596,Lapsana communis,3031,432,868,4331
597,Lathraea clandestina,394,56,114,564
598,Lathraea squamaria,238,34,69,341
599,Lavandula angustifolia,2396,342,686,3424
600,Lavandula canariensis,18,2,7,27
601,Lavandula dentata,617,88,177,882
602,Lavandula latifolia,332,47,96,475
603,Lavandula minutolii,2,1,1,4
604,Lavandula multifida,49,7,15,71
605,Lavandula pinnata,9,1,3,13
606,Lavandula spp.,7,1,2,10
607,Lavandula stoechas,1342,191,385,1918
608,Lavandula x intermedia,2,1,1,4
609,Leersia oryzoides,15,2,5,22
610,Leersia virginica,2,1,1,4
611,Leonitis nepetifolia,14,2,4,20
612,Lepidium coronopus,50,7,15,72
613,Leptinella potentillina,7,1,2,10
614,Leucophyta brownii,36,5,11,52
615,Limbarda crithmoides,256,36,74,366
616,Limnanthes douglasii,44,6,13,63
617,Limonia acidissima,3,1,1,5
618,Liriodendron chinensis,3,1,1,5
619,Liriodendron tulipifera,1838,262,527,2627
620,Liriope muscari,220,30,65,315
621,Lithodora fruticosa,415,59,119,593
622,Lithops aucampiae,11,1,4,16
623,Lithops fulviceps,6,1,2,9
624,Lithops karasmontana,7,1,3,11
625,Lithops marmorata,9,1,4,14
626,Lithops olivacea,14,2,5,21
627,Lithops pseudotruncatella,112,16,32,160
628,Lithops spp.,52,7,16,75
629,Lolium multiflorum,1608,229,461,2298
630,Lomatia ferruginea,22,3,7,32
631,Loropetalum chinense,140,20,41,201
632,Luffa acutangula,75,10,23,108
633,Luffa cylindrica,15,2,5,22
634,Lupinus albifrons,49,7,15,71
635,Lupinus albus,58,8,17,83
636,Lupinus angustifolius,463,66,133,662
637,Lupinus arboreus,91,13,27,131
638,Lupinus argenteus,8,1,3,12
639,Lupinus bicolor,13,1,5,19
640,Lupinus chamissonis,4,1,1,6
641,Lupinus cosentinii,2,1,1,4
642,Lupinus diffusus,2,1,1,4
643,Lupinus formosus,4,1,1,6
644,Lupinus hirsutissimus,2,1,1,4
645,Lupinus luteus,61,8,19,88
646,Lupinus micranthus,23,3,8,34
647,Lupinus nootkatensis,11,2,4,17
648,Lupinus perennis,9,1,3,13
649,Lupinus pilosus,2,1,1,4
650,Lupinus polyphyllus,1964,280,562,2806
651,Lupinus subcarnosus,2,1,1,4
652,Lupinus texensis,16,2,6,24
653,Lupinus x regalis,18,2,7,27
654,Lycoris radiata,62,9,19,90
655,Lycoris squamigera,69,9,21,99
656,Lyonothamnus floribundus,2,1,1,4
657,Macrosyringion longiflorum,4,1,2,7
658,Maerua angolensis,4,1,2,7
659,Maerua triphylla,4,1,1,6
660,Maianthemum bifolium,304,43,88,435
661,Maianthemum canadense,161,23,47,231
662,Maianthemum racemosum,173,24,51,248
663,Maianthemum stellatum,49,7,14,70
664,Maianthemum trifolium,2,1,1,4
665,Malus pumila,2222,315,640,3177
666,Mangifera indica,468,67,135,670
667,Manihot esculenta,221,31,64,316
668,Margaritopsis haematocarpa,2,1,1,4
669,Matricaria chamomilla,2444,349,699,3492
670,Matricaria perforata,424,60,123,607
671,Maurandya barclayana,2,1,1,4
672,Mauritia flexuosa,7,1,3,11
673,Maytenus boaria,11,1,4,16
674,Maytenus ilicifolia,5,1,2,8
675,Mazus pumilus,8,2,3,13
676,Mecardonia procumbens,9,1,4,14
677,Melampodium divaricatum,38,5,12,55
678,Melampodium leucanthum,7,1,2,10
679,Melampodium perfoliatum,2,1,1,4
680,Melilotus albus,1206,172,346,1724
681,Melilotus altissimus,67,9,20,96
682,Melilotus indicus,495,70,143,708
