sample_id,source_id,source_image_path,class_id,class_name,split,curated_path,image_path,source_sha256,curated_sha256,image_sha256,recipe_id,image_bytes,width,height
op_d96a639c9bc71283a87b0558,ATLDSD,ATLDSD/Healthy leaf/image/IMG_20190726_194903.jpg,665,Malus pumila,train,train/Malus pumila/ATLDSD_IMG_20190726_194903.jpg,train/Malus pumila/ATLDSD_IMG_20190726_194903.png,,,,rgb_resize256_png_v1,,,
op_618702f00282b93fd55cd160,ATLDSD,ATLDSD/Healthy leaf/image/IMG_20190726_192702.jpg,665,Malus pumila,train,train/Malus pumila/ATLDSD_IMG_20190726_192702.jpg,train/Malus pumila/ATLDSD_IMG_20190726_192702.png,,,,rgb_resize256_png_v1,,,
op_462ac064d5fe6d518342ddbc,BananaLDI,Banana Leaf Disease Images/healthy/20210219_122338.jpg,708,Musa spp.,train,train/Musa spp./BananaLDI_20210219_122338.jpg,train/Musa spp./BananaLDI_20210219_122338.png,,,,rgb_resize256_png_v1,,,
op_80be5d46b4b7b2be6f00e9f1,BananaLDI,Banana Leaf Disease Images/healthy/20210219_144643.jpg,708,Musa spp.,train,train/Musa spp./BananaLDI_20210219_144643.jpg,train/Musa spp./BananaLDI_20210219_144643.png,,,,rgb_resize256_png_v1,,,
op_36018ec10e9fbf29cea3d986,chilli,chilli dataset/cropped/healthy/IMG_5589.JPG,222,Capsicum annuum,train,train/Capsicum annuum/chilli_IMG_5589.JPG,train/Capsicum annuum/chilli_IMG_5589.png,,,,rgb_resize256_png_v1,,,
op_ef437dd735e95cca6ff79ab6,chilli,chilli dataset/cropped_resized/augment/test/healthy/healthy_14_3179.jpg,222,Capsicum annuum,train,train/Capsicum annuum/chilli_healthy_14_3179.jpg,train/Capsicum annuum/chilli_healthy_14_3179.png,,,,rgb_resize256_png_v1,,,
op_5c3ff13d85c88d173cd25b64,CottonLDD,cotton leaf disease dataset/cotton/healthy/h328.jpg,479,Gossypium spp.,train,train/Gossypium spp./CottonLDD_h328.jpg,train/Gossypium spp./CottonLDD_h328.png,,,,rgb_resize256_png_v1,,,
op_5aa5724a1088450bea960e72,CottonLDD,cotton leaf disease dataset/cotton/healthy/h128.jpg,479,Gossypium spp.,train,train/Gossypium spp./CottonLDD_h128.jpg,train/Gossypium spp./CottonLDD_h128.png,,,,rgb_resize256_png_v1,,,
op_018c170c0f1aa1b161f68995,CottonPD,Cotton plant disease/Cotton leaves/40 Images/healthy/rotate_zoompil_constract_35.jpg,479,Gossypium spp.,train,train/Gossypium spp./CottonPD_rotate_zoompil_constract_35.jpg,train/Gossypium spp./CottonPD_rotate_zoompil_constract_35.png,,,,rgb_resize256_png_v1,,,
op_bfc41d4d09c0e758d9ee5bbc,CottonPD,Cotton plant disease/Cotton leaves/40 Images/healthy/random_crop_11.jpg,479,Gossypium spp.,train,train/Gossypium spp./CottonPD_random_crop_11.jpg,train/Gossypium spp./CottonPD_random_crop_11.png,,,,rgb_resize256_png_v1,,,
op_96f853fb68ce1d6a43b601d2,PLD,Potato Disease Leaf Dataset(PLD)/Training/Healthy/Healthy_89.jpg,1036,Solanum tuberosum,train,train/Solanum tuberosum/PLD_Healthy_89.jpg,train/Solanum tuberosum/PLD_Healthy_89.png,,,,rgb_resize256_png_v1,,,
op_b4e7d3c788fd0c7afc6ade98,PLD,Potato Disease Leaf Dataset(PLD)/Training/Healthy/Healthy_460.jpg,1036,Solanum tuberosum,train,train/Solanum tuberosum/PLD_Healthy_460.jpg,train/Solanum tuberosum/PLD_Healthy_460.png,,,,rgb_resize256_png_v1,,,
op_8b78105e1127cc9a91d60c22,ESCA,esca_dataset/healthy/healthy_422_cam3.jpg,1036,Solanum tuberosum,train,train/Solanum tuberosum/ESCA_healthy_422_cam3.jpg,train/Solanum tuberosum/ESCA_healthy_422_cam3.png,,,,rgb_resize256_png_v1,,,
op_17f4315afc97a640c49b30b0,ESCA,esca_dataset/healthy/healthy_450_cam3.jpg,1036,Solanum tuberosum,train,train/Solanum tuberosum/ESCA_healthy_450_cam3.jpg,train/Solanum tuberosum/ESCA_healthy_450_cam3.png,,,,rgb_resize256_png_v1,,,
op_397ed4135e20e3c26933ec53,Cassava,cassava-disease/train/healthy/train-healthy-276.jpg,667,Manihot esculenta,train,train/Manihot esculenta/Cassava_train-healthy-276.jpg,train/Manihot esculenta/Cassava_train-healthy-276.png,,,,rgb_resize256_png_v1,,,
op_3fd05a52b35015afc427add8,Cassava,cassava-disease/train/healthy/train-healthy-219.jpg,667,Manihot esculenta,train,train/Manihot esculenta/Cassava_train-healthy-219.jpg,train/Manihot esculenta/Cassava_train-healthy-219.png,,,,rgb_resize256_png_v1,,,
op_dcbebedfa85cbb5402e6bd22,SugarcaneLDD,Sugarcane Leaf Disease Dataset/Healthy/healthy (174).jpeg,936,Saccharum offivinarum,train,train/Saccharum offivinarum/SugarcaneLDD_healthy (174).jpeg,train/Saccharum offivinarum/SugarcaneLDD_healthy (174).png,,,,rgb_resize256_png_v1,,,
op_442f71b072b89a6b82bf1672,SugarcaneLDD,Sugarcane Leaf Disease Dataset/Healthy/healthy (223).jpeg,936,Saccharum offivinarum,train,train/Saccharum offivinarum/SugarcaneLDD_healthy (223).jpeg,train/Saccharum offivinarum/SugarcaneLDD_healthy (223).png,,,,rgb_resize256_png_v1,,,
op_ea4cd16330c3bf73038baeb1,CornLD,Corn Leaf Disease/Daun Sehat/IMG_20230719_063430.jpg,1165,Zea mays,train,train/Zea mays/CornLD_IMG_20230719_063430.jpg,train/Zea mays/CornLD_IMG_20230719_063430.png,,,,rgb_resize256_png_v1,,,
op_308b32160d092ef8670a3fac,CornLD,Corn Leaf Disease/Daun Sehat/IMG_20230728_155039 (1).jpg,1165,Zea mays,train,train/Zea mays/CornLD_IMG_20230728_155039 (1).jpg,train/Zea mays/CornLD_IMG_20230728_155039 (1).png,,,,rgb_resize256_png_v1,,,
op_b32b1e930de2b1d7d13ed586,MangoLeafBD,MangoLeafBD Dataset/Healthy/20211231_160353 (Custom).jpg,666,Mangifera indica,train,train/Mangifera indica/MangoLeafBD_20211231_160353 (Custom).jpg,train/Mangifera indica/MangoLeafBD_20211231_160353 (Custom).png,,,,rgb_resize256_png_v1,,,
op_fc38d37a5428dadd136eaa14,MangoLeafBD,MangoLeafBD Dataset/Healthy/20211231_130051 (Custom).jpg,666,Mangifera indica,train,train/Mangifera indica/MangoLeafBD_20211231_130051 (Custom).jpg,train/Mangifera indica/MangoLeafBD_20211231_130051 (Custom).png,,,,rgb_resize256_png_v1,,,
op_4e4d508a859811643f0e9af7,Soybean Leaves,bycbh73438-1/Healthy/healthy (763).jpg,474,Glycine max,train,train/Glycine max/Soybean Leaves_healthy (763).jpg,train/Glycine max/Soybean Leaves_healthy (763).png,,,,rgb_resize256_png_v1,,,
op_73ba028172f530836312368a,Soybean Leaves,bycbh73438-1/Healthy/healthy (583).jpg,474,Glycine max,train,train/Glycine max/Soybean Leaves_healthy (583).jpg,train/Glycine max/Soybean Leaves_healthy (583).png,,,,rgb_resize256_png_v1,,,
op_76a81f153df1f521932e73a5,SugarcaneDD,sugarcane RA/Healthy/S_H (40).jpg,936,Saccharum offivinarum,train,train/Saccharum offivinarum/SugarcaneDD_S_H (40).jpg,train/Saccharum offivinarum/SugarcaneDD_S_H (40).png,,,,rgb_resize256_png_v1,,,
op_7d4afd2069bc87235a4bafa9,SugarcaneDD,sugarcane RA/Healthy/S_H (65).JPG,936,Saccharum offivinarum,train,train/Saccharum offivinarum/SugarcaneDD_S_H (65).JPG,train/Saccharum offivinarum/SugarcaneDD_S_H (65).png,,,,rgb_resize256_png_v1,,,
op_8273e165f6d47507b8c38fa9,Coffee plant disease,dataset/Train/healthy/C12P20H1.jpg,296,Coffea spp.,train,train/Coffea spp./Coffee plant disease_C12P20H1.jpg,train/Coffea spp./Coffee plant disease_C12P20H1.png,,,,rgb_resize256_png_v1,,,
op_b7b9437847a43dcde85d6252,Coffee plant disease,dataset/Train/healthy/C11P15H1.jpg,296,Coffea spp.,train,train/Coffea spp./Coffee plant disease_C11P15H1.jpg,train/Coffea spp./Coffee plant disease_C11P15H1.png,,,,rgb_resize256_png_v1,,,
op_c42aa600ab3a1eb5e00765a1,SorghumWeed,SorghumWeedDataset_Classification/Train/Class0_Sorghum/SorghumTrain (511).jpeg,1039,Sorghum bicolor,train,train/Sorghum bicolor/SorghumWeed_SorghumTrain (511).jpeg,train/Sorghum bicolor/SorghumWeed_SorghumTrain (511).png,,,,rgb_resize256_png_v1,,,
op_d411ff4c55d347682d7ff6ce,SorghumWeed,SorghumWeedDataset_Classification/Validate/Class0_Sorghum/SorghumValidation (272).jpeg,1039,Sorghum bicolor,train,train/Sorghum bicolor/SorghumWeed_SorghumValidation (272).jpeg,train/Sorghum bicolor/SorghumWeed_SorghumValidation (272).png,,,,rgb_resize256_png_v1,,,
op_c0650ec5262bbe48996bb651,Weed25,Weed25/Alligatorweed/Alligatorweed (1).JPG,85,Alternanthera philoxeroides,test,test/Alternanthera philoxeroides/Weed25_Alligatorweed (1)_01.jpg,test/Alternanthera philoxeroides/Weed25_Alligatorweed (1)_01.png,,,,op_c0650ec5262bbe48996bb651,,,
op_6e948cffdb865198a7454a55,Weed25,Weed25/Alligatorweed/Alligatorweed (2).JPG,85,Alternanthera philoxeroides,train,train/Alternanthera philoxeroides/Weed25_Alligatorweed (2)_01.jpg,train/Alternanthera philoxeroides/Weed25_Alligatorweed (2)_01.png,,,,op_6e948cffdb865198a7454a55,,,
op_793e552d29e6cff3e50a646f,CottonWeedDet12,CottonWeedDet12/images/20210712_iPhoneSE_YL_66.jpg,704,Mollugo verticillata,train,train/Mollugo verticillata/CWD12_490.jpg,train/Mollugo verticillata/CWD12_490.png,,,,op_793e552d29e6cff3e50a646f,,,
op_f068970e7a83208d8e5c103c,CottonWeedDet12,CottonWeedDet12/images/20210910_NIKOND3300_YL_109.jpg,704,Mollugo verticillata,train,train/Mollugo verticillata/CWD12_7852.jpg,train/Mollugo verticillata/CWD12_7852.png,,,,op_f068970e7a83208d8e5c103c,,,
op_4632e326126d03659a1cf28e,CWID15,CottonWeedID15/Crabgrass/cdb486c8fe63432ca30a88b90072c52f__crabgrass__0.jpg,384,Digitaria sanguinalis,train,train/Digitaria sanguinalis/CWID15_Digitaria sanguinalis_0001.jpg,train/Digitaria sanguinalis/CWID15_Digitaria sanguinalis_0001.png,,,,rgb_resize256_png_v1,,,
op_880b885d1624df5e4283619e,CWID15,CottonWeedID15/Crabgrass/dd56a4c8d36a47e98a7587d139f071bd__crabgrass__0.jpg,384,Digitaria sanguinalis,train,train/Digitaria sanguinalis/CWID15_Digitaria sanguinalis_0002.jpg,train/Digitaria sanguinalis/CWID15_Digitaria sanguinalis_0002.png,,,,rgb_resize256_png_v1,,,
op_7d9d8db76016fc80f43a2869,DeepWeeds,DeepWeeds/images/20170811-162908-1.jpg,1166,Ziziphus mauritiana,train,train/Ziziphus mauritiana/DW_20170811-162908-1.jpg,train/Ziziphus mauritiana/DW_20170811-162908-1.png,,,,rgb_resize256_png_v1,,,
op_9f5a31a5395d7434f291eb5b,DeepWeeds,DeepWeeds/images/20170405-155115-0.jpg,1166,Ziziphus mauritiana,train,train/Ziziphus mauritiana/DW_20170405-155115-0.jpg,train/Ziziphus mauritiana/DW_20170405-155115-0.png,,,,rgb_resize256_png_v1,,,
op_df26ccf5322ee3d9f660e746,WeedNet-R,WeedNet-R/dataset/JPEGImages/1462955795_432631550.png,188,Beta vulgaris,train,train/Beta vulgaris/WeedNet-R_1462955795_432631550_01.jpg,train/Beta vulgaris/WeedNet-R_1462955795_432631550_01.png,,,,op_df26ccf5322ee3d9f660e746,,,
op_6958bfe76adf1b97f14dcc49,WeedNet-R,WeedNet-R/dataset/JPEGImages/1462955796_432597273.png,188,Beta vulgaris,test,test/Beta vulgaris/WeedNet-R_1462955796_432597273_01.jpg,test/Beta vulgaris/WeedNet-R_1462955796_432597273_01.png,,,,op_6958bfe76adf1b97f14dcc49,,,
op_08831557e10f2ed7632b5ae5,CWD30,data/Asian-flatsedge/weed_asian-flatsedge_w4_45_0184071.jpg,337,Cyperus microiria,train,train/Cyperus microiria/weed_asian-flatsedge_w4_45_0184071.jpg,train/Cyperus microiria/weed_asian-flatsedge_w4_45_0184071.png,,,,rgb_resize256_png_v1,,,
op_201371a58dd0153e9a16f684,CWD30,data/Asian-flatsedge/weed_asian-flatsedge_w6_0_0164026.jpg,337,Cyperus microiria,train,train/Cyperus microiria/weed_asian-flatsedge_w6_0_0164026.jpg,train/Cyperus microiria/weed_asian-flatsedge_w6_0_0164026.png,,,,rgb_resize256_png_v1,,,
op_32d4d265def8f9a0c8813fc9,PlantSeedlings,NonsegmentedV2/Black-grass/248.png,83,Alopecurus myosuroides,train,train/Alopecurus myosuroides/PlantSeedlings_248.png,train/Alopecurus myosuroides/PlantSeedlings_248.png,,,,rgb_resize256_png_v1,,,
op_799dbd88a81a965f36637d41,PlantSeedlings,NonsegmentedV2/Black-grass/257.png,83,Alopecurus myosuroides,train,train/Alopecurus myosuroides/PlantSeedlings_257.png,train/Alopecurus myosuroides/PlantSeedlings_257.png,,,,rgb_resize256_png_v1,,,
op_f38afd10a7baf32170713893,Early_crop_weed,early-crop-weed/black_nightsade/DSC_0717.JPG,1035,Solanum nigrum,train,train/Solanum nigrum/Early_crop_weed_Solanum nigrum_0001.JPG,train/Solanum nigrum/Early_crop_weed_Solanum nigrum_0001.png,,,,rgb_resize256_png_v1,,,
op_6987285a82c8921f0a9542bc,Early_crop_weed,early-crop-weed/black_nightsade/DSC_0557.JPG,1035,Solanum nigrum,train,train/Solanum nigrum/Early_crop_weed_Solanum nigrum_0002.JPG,train/Solanum nigrum/Early_crop_weed_Solanum nigrum_0002.png,,,,rgb_resize256_png_v1,,,
op_7bf86395c6fbeb9d6f3b0a58,OPPD,OPPD/DATA/images_plants/ALOMY/47195096-5A6A-4A86-9D08-8BFF58F70226.jpg,83,Alopecurus myosuroides,train,train/Alopecurus myosuroides/OPPD_Alopecurus myosuroides_0001.jpg,train/Alopecurus myosuroides/OPPD_Alopecurus myosuroides_0001.png,,,,rgb_resize256_png_v1,,,
op_29e7713aedcd61a11632fcad,OPPD,OPPD/DATA/images_plants/ALOMY/870A5216-B52D-4F01-B3C4-18E2EBFAE1D8.jpg,83,Alopecurus myosuroides,train,train/Alopecurus myosuroides/OPPD_Alopecurus myosuroides_0002.jpg,train/Alopecurus myosuroides/OPPD_Alopecurus myosuroides_0002.png,,,,rgb_resize256_png_v1,,,
op_00eda9303c20d31584de0b1b,VCD,2019-05-23_montoldre_bean_1_000000.jpg,882,Phaseolus vulgaris,train,train/Phaseolus vulgaris/VCD_2019-05-23_montoldre_bean_1_000000_01.jpg,train/Phaseolus vulgaris/VCD_2019-05-23_montoldre_bean_1_000000_01.png,,,,op_00eda9303c20d31584de0b1b,,,
op_1140f64683aa75b4c176c101,VCD,2019-05-23_montoldre_bean_1_000000.jpg,882,Phaseolus vulgaris,train,train/Phaseolus vulgaris/VCD_2019-05-23_montoldre_bean_1_000000_02.jpg,train/Phaseolus vulgaris/VCD_2019-05-23_montoldre_bean_1_000000_02.png,,,,op_1140f64683aa75b4c176c101,,,
op_94db9d253bd2ad9c4d2d75c6,ImageWeeds,ImageWeeds/Aerial_Weeds/Images/UASs_1.jpg,93,Ambrosia artemisiifolia,test,test/Ambrosia artemisiifolia/ImageWeeds_UASs_1_01.jpg,test/Ambrosia artemisiifolia/ImageWeeds_UASs_1_01.png,,,,op_94db9d253bd2ad9c4d2d75c6,,,
op_ebdff602f77512981d991052,ImageWeeds,ImageWeeds/Aerial_Weeds/Images/UASs_1.jpg,93,Ambrosia artemisiifolia,test,test/Ambrosia artemisiifolia/ImageWeeds_UASs_1_02.jpg,test/Ambrosia artemisiifolia/ImageWeeds_UASs_1_02.png,,,,op_ebdff602f77512981d991052,,,
op_589921e11e57788c01089558,TobSet,TobSet/tobacco_01/tobacco_0001.jpg,737,Nicotiana tabacum,test,test/Nicotiana tabacum/TobSet_tobacco_01_tobacco_0001_01.jpg,test/Nicotiana tabacum/TobSet_tobacco_01_tobacco_0001_01.png,,,,op_589921e11e57788c01089558,,,
op_58e4eed3f775fa99f1ba7e2f,TobSet,TobSet/tobacco_01/tobacco_0002.jpg,737,Nicotiana tabacum,test,test/Nicotiana tabacum/TobSet_tobacco_01_tobacco_0002_01.jpg,test/Nicotiana tabacum/TobSet_tobacco_01_tobacco_0002_01.png,,,,op_58e4eed3f775fa99f1ba7e2f,,,
op_56222c691d5506c3874ea643,weed-datasets,weed-datasets/corn weed datasets/bluegrass/IMG_4419.jpg,910,Poa annua,train,train/Poa annua/weed-datasets_Poa annua_0001.jpg,train/Poa annua/weed-datasets_Poa annua_0001.png,,,,rgb_resize256_png_v1,,,
op_d57b6e8fb7ac869c592a08a7,weed-datasets,weed-datasets/corn weed datasets/bluegrass/IMG_5259.jpg,910,Poa annua,train,train/Poa annua/weed-datasets_Poa annua_0002.jpg,train/Poa annua/weed-datasets_Poa annua_0002.png,,,,rgb_resize256_png_v1,,,
op_77c3592fe56dd53e45a5f793,plantnet_300K,plantnet_300K/images/train/1391810/c89ea23fc3dcfa0c9ef6c92ddc87e6a4ea3f0703.jpg,398,Dryopteris expansa,train,train/Dryopteris expansa/PN300k_c89ea23fc3dcfa0c9ef6c92ddc87e6a4ea3f0703.jpg,train/Dryopteris expansa/PN300k_c89ea23fc3dcfa0c9ef6c92ddc87e6a4ea3f0703.png,,,,rgb_resize256_png_v1,,,
op_0e8390e06876764a46a70ff9,plantnet_300K,plantnet_300K/images/train/1391810/542eb488d0a3ec39022c6ac1f5ed95c6add763a7.jpg,398,Dryopteris expansa,train,train/Dryopteris expansa/PN300k_542eb488d0a3ec39022c6ac1f5ed95c6add763a7.jpg,train/Dryopteris expansa/PN300k_542eb488d0a3ec39022c6ac1f5ed95c6add763a7.png,,,,rgb_resize256_png_v1,,,
